date;name;lat;lon;total
1938-01;BAIKALO-AMURSKII ITL;51.375169;128.133383;200907
1938-01;BELOMORO-BALTIISKII ITL;62.912774;34.456850;69098
1938-01;VOLZhSKII ITL I STROITEL'STVO;58.093925;38.689487;73100
1938-01;VIaZEMSKII ITL;55.205944;34.298037;24100
1938-01;DAL'NE-VOSTOChNYI ITL;48.472584;135.057732;100875
1938-01;DMITROVSKII ITL;56.344157;37.520015;16068
1938-01;IVDEL'SKII ITL;60.694531;60.424477;16230
1938-01;ITL I STROITEL'STVO;55.817820;37.849895;7001
1938-01;ITL I STROITEL'STVO IuGO-VOSTOChNOI GAVANI;55.503273;36.078246;4303
1938-01;KALUZhSKII ITL;54.507014;36.252277;5624
1938-01;KARAGANDINSKII ITL;49.670690;72.680507;31548
1938-01;KARGOPOL'SKII ITL;61.505400;38.947214;15217
1938-01;KOTLASSKII PERESYL'NO-PEREVALOChNYI;61.252970;46.633217;0
1938-01;KULOISKII ITL;64.539393;40.516939;10581
1938-01;LOKChIMSKII ITL;63.560972;53.677285;18937
1938-01;LUZhSKII ITL I STROITEL'STVO 200;60.004928;30.440464;6645
1938-01;NORIL'SKII ITL;69.349039;88.201014;7927
1938-01;PODOL'SKII ITL;55.431177;37.544737;4352
1938-01;PRORVINSKII ITL;46.347869;48.033574;6953
1938-01;SAMARSKII ITL I STROITEL'STVO;53.184283;50.201397;15894
1938-01;SEVERO-VOSTOChNYI ITL;64.350757;154.599288;90741
1938-01;SIBIRSKII ITL;56.209250;87.735094;78838
1938-01;SREDNEAZIATSKII ITL;41.311178;69.279701;33936
1938-01;TAIShETSKII ITL GULAGA;55.940513;98.003044;13333
1938-01;TEMNIKOVSKII ITL;54.391243;42.660139;17921
1938-01;TOMSKO-ASINSKII ITL;56.990797;86.176508;11912
1938-01;UST'VYMSKII ITL;62.845101;51.327355;5222
1938-01;UKhTINSKO-PEChORSKII ITL;63.556478;53.701413;54792
1938-01;ShOSDORLAG;48.472584;135.057732;42853
1938-02;BAIKALO-AMURSKII ITL;51.375169;128.133383;200907
1938-02;BELOMORO-BALTIISKII ITL;62.912774;34.456850;69098
1938-02;VOLZhSKII ITL I STROITEL'STVO;58.093925;38.689487;75222
1938-02;VIaZEMSKII ITL;55.205944;34.298037;36919
1938-02;VIaTSKII ITL;59.960525;52.975988;11855
1938-02;DAL'NE-VOSTOChNYI ITL;48.472584;135.057732;82467
1938-02;IVDEL'SKII ITL;60.694531;60.424477;18196
1938-02;ITL I STROITEL'STVO;55.817820;37.849895;51507
1938-02;ITL I STROITEL'STVO IuGO-VOSTOChNOI GAVANI;55.503273;36.078246;31378
1938-02;KALUZhSKII ITL;54.507014;36.252277;3014
1938-02;KARAGANDINSKII ITL;49.670690;72.680507;35828
1938-02;KARGOPOL'SKII ITL;61.505400;38.947214;22643
1938-02;KOTLASSKII PERESYL'NO-PEREVALOChNYI;61.252970;46.633217;0
1938-02;KRASNOIaRSKII ITL;56.166747;97.218061;9924
1938-02;KULOISKII ITL;64.539393;40.516939;10433
1938-02;LOKChIMSKII ITL;63.560972;53.677285;22589
1938-02;LUZhSKII ITL I STROITEL'STVO 200;60.004928;30.440464;36209
