person_id,name,birth_year,death_year,father_id,house,title,primary_territory,notes
E001,Eticho I Adalric,635,690,,Etichonider,Count of Alsace,Alsace,Founder of Etichonider line
E002,Adalbert I,665,720,E001,Etichonider,Count of Alsace,Alsace,
E003,Eticho II,700,723,E002,Etichonider,Count of Nordgau,Nordgau,
E004,Alberic I,,747,E003,Etichonider,Count of Nordgau,Nordgau,
E005,Eberhard II,,777,E004,Etichonider,Count of Nordgau,Nordgau,
E006,Eberhard III of Dillingen,,874,E005,Etichonider,Count of Nordgau,Nordgau,
E007,Hugo III,,940,E006,Etichonider,Count of Nordgau,Nordgau,
E008,Guntram the Rich,920,973,E007,Etichonider,Count in Breisgau,Breisgau,Direct ancestor of Habsburgs
E009,Eberhard IV,,973,E008,Etichonider,Noble,Breisgau,
H001,Lanzelin of Klettgau and Altenburg,940,991,E008,Habsburg,Count of Klettgau,Klettgau,
H002,Werner I,978,1028,H001,Habsburg,Bishop of Strasbourg,Strasbourg,
H003,Radbot of Klettgau,985,1045,H001,Habsburg,Count of Klettgau,Klettgau,Built Habsburg Castle
H004,Werner I the Pious,1030,1096,H003,Habsburg,Count of Habsburg,Habsburg,
H005,Otto II,,1111,H004,Habsburg,Count of Habsburg,Habsburg,First von Habsburg
H006,Werner II,,1167,H005,Habsburg,Count of Habsburg,Habsburg,
H007,Otto III,1166,1174,H006,Habsburg,Bishop of Constance,Constance,
H008,Albert III,,1199,H006,Habsburg,Count of Habsburg,Habsburg,
H009,Rudolf II,,1232,H008,Habsburg,Count of Habsburg,Habsburg,
H010,Albert IV,1188,1239,H009,Habsburg,co-Count of Habsburg,Habsburg,
H011,Rudolf III,,1249,H009,Habsburg,Count of Laufenburg,Laufenburg,
H012,Rudolf IV I,1218,1291,H010,Habsburg,King of Germany,Germany,Founder of Austrian power
H013,Eberhard I,1227,1284,H011,Habsburg,Count of Kiburg,Kiburg,
H014,Gottfried I,,1271,H011,Habsburg,Count of Laufenburg,Laufenburg,
H015,Albert I,1255,1308,H012,Habsburg,King of Germany,Austria,Murdered
H016,Rudolf II,1270,1290,H015,Habsburg,co-Duke of Austria,Austria,
H017,John Parricida,1290,1313,H015,Habsburg,Noble,Austria,Murdered Albert I
H018,Rudolf I of Germany,1218,1291,H010,Habsburg,Duke of Austria,Austria,
H019,Hartmann,1263,1281,H018,Habsburg,Noble,Austria,
H020,Rudolf I III of Bohemia,1281,1307,H018,Habsburg,Duke of Austria,Austria,
H021,Frederick I III the Fair,1289,1330,H020,Habsburg,co-Duke of Austria,Austria,
H022,Leopold I the Glorious,1290,1326,H020,Habsburg,co-Duke of Austria,Austria,
H023,Albert II the Wise,1298,1358,H021,Habsburg,co-Duke of Austria,Austria,
H024,Henry the Friendly,1299,1327,H021,Habsburg,Noble,Austria,
H025,Otto the Merry,1301,1339,H021,Habsburg,co-Duke of Austria,Austria,
H026,Rudolf IV,1339,1365,H023,Habsburg,Duke of Austria,Austria,
H027,Frederick III,1347,1362,H023,Habsburg,Noble,Austria,
H028,Albert III,1349,1395,H023,Habsburg,Duke of Austria,Austria,
H029,Leopold III,1351,1386,H023,Habsburg,Duke of Austria,Austria,
H030,Frederick II,1327,1344,H025,Habsburg,co-Duke of Austria,Austria,
H031,Leopold II,1328,1344,H025,Habsburg,co-Duke of Austria,Austria,
H032,Albert IV,1377,1404,H028,Habsburg,Duke of Lower Austria,Lower Austria,
H033,William,1370,1406,H029,Habsburg,Duke of Inner Austria,Austria,
H034,Leopold IV,1371,1411,H029,Habsburg,Duke of Further Austria,Austria,
