name;address;type;lat;lon
Лефортовская тюрьма;Лефортовский Вал, 5;Место заключения;55.76133;37.70593
Бутырская тюрьма;Новослободская улица, 45;Место заключения;55.784522;37.594012
Таганская тюрьма;улица Малые Каменщики, 16-18, снесена в 1958 г.;Место заключения;55.735985;37.653866
Сущевский арестный дом;Селезневская улица, 11;Место заключения;55.78068;37.604627
Новинская женская тюрьма (до 1947);Новинский пер.;Место заключения;55.75356;37.57689
Сокольническая тюрьма («Матросская тишина») или тюрьма № 14 Управления МВД по Моск;Матросская Тишина, 18;Место заключения;55.791893;37.697624
Сухановская особорежимная тюрьма;Видное-2, Петровский пр-д;Место заключения;55.53635;37.66581
Краснопресненская пересыльная тюрьма;1-й Силикатный проезд, 11;Место заключения;55.765304;37.514448
Арбатский арестный дом/Кабинет и клиника по изучению личности преступника и преступности (1917-1924);столовый переулок 7;Место заключения;55.75659;37.594229
Басманнный арестный дом (1917-1924);Новая Басманная 29  строение 3;Место заключения;55.769966;37.665074
Лефортовский арестный дом (1917-1924);Кирочный пер. 13;Место заключения;55.76911;37.684617
Мясницкий арестный дом;Уг.Хитрового и М. Трехсвятительского пер;Место заключения;55.753892;37.645519
Якиманский арестный дом (1917-1924);Житная ул.Казанский пер.;Место заключения;55.730344;37.615493
Пресненский арестный дом;Баррикандная дом4 строение3;Место заключения;55.760112;37.58207
Городской арестный дом (1917-1924);кривой перулок 10;Место заключения;55.751249;37.631463
Сретенская тюрьма;3-й знаменский 8;Место заключения;55.76932;37.618026
2-я Московская тюремная больница;ул. Баумана 10/12;Место заключения;55.765645;37.679782
Туполевская шарага (ЦКБ-29) (1939-1941);ул.Радио, 24;Место заключения;55.764063;37.678063
"Завод ""Компрессор"" (ОТБ-8 )";2-я ул. Энтузиастов, д. 5;Место заключения;55.750186;37.729105
"Завод ""Красный богатырь"" (ОТБ-10)";"Краснобогатырская ул., 2;";Место заключения;55.815417;37.690994
Экспериментальная ТЭЦ ВТИ (ОТБ-11);Ленинская слобода, 23;Место заключения;55.705533;37.648674
